Long	Lat	Class
-47.579	-13.533	CL
-47.471	-13.637	CL
-47.189	-13.316	CL
-47.179	-13.595	CL
-47.594	-13.251	CL
-47.349	-13.471	CL
-47.64	-13.311	CL
-47.524	-13.604	CL
-47.263	-13.495	CR
-47.413	-13.419	CR
-47.41	-13.427	CR
-47.586	-13.381	CR
-47.235	-13.508	CR
-47.548	-13.438	CS
-47.575	-13.441	CS
-47.201	-13.539	CS
-47.54	-13.445	CS
-47.348	-13.358	CS
-47.496	-13.581	CS
-47.498	-13.411	CS
-47.218	-13.349	CS
-47.535	-13.54	FE
-47.468	-13.611	FE
-47.273	-13.404	FE
-47.396	-13.27	FE
-47.31	-13.505	FE
-47.491	-13.449	FE
-47.291	-13.298	FE
-47.258	-13.293	FE
-47.439	-13.527	FE
-47.389	-13.323	FE
-47.458	-13.253	MC
-47.34	-13.486	SE
-47.352	-13.496	SE
-47.607	-13.429	SS
-47.348	-13.661	SS
-47.62	-13.444	SS
-47.587	-13.381	SS
-47.495	-13.514	VR
