areakm	hostspot_km	fence_km	house_km	road_km	river_km	ruralbuild_km
0.5563	0.372	0.647	5.125	0.115	0.644	1.186
2.8	0.711	0.912	4.447	0.142	0.461	3.61
7.36	0.302	0.06	NA	0.037	1.605	1.683
2.5098	0.052	0.806	2.387	0.011	0.888	0.709
0.825	0.889	1.395	2.235	1.251	4.09	2.199
1.09	0.094	0.901	3.471	0.211	1.259	3.739
4.5	1.01	0.983	1.482	0.689	1.028	1.472
4.5	1.01	0.983	1.482	0.689	1.028	1.472
16	3.693	0.15	0.5	0.06	0.63	0.5
0.218	0.19	0.16	0.34	0.82	4.95	0.394
3.21	0.298	0.371	0.395	0.142	3.199	0.399
2.24	0.472	0.1	0.075	0.1	0.28	0.06
28.43	1.015	2.685	1.616	0.013	1.85	1.6
0.296	0.95	1.132	1.136	0.998	0.204	0.97
17.05	2.84	1.647	2.231	2.804	3.102	2.25
0.21	1.556	2.156	1.123	1.976	0.834	1.1
0.139	0.461	0.16	0.146	0.568	1.336	0.12
0.3	0.579	0.48	0.075	0.042	3.184	0.04
0.343	0.158	0.111	0.372	1.046	0.161	0.381
23.11	0.673	0.21	1.895	0.07	3.423	1.87
0.647	2.188	0.595	0.857	0.322	0.917	0.54
0.158	0.837	1.432	2.113	1.726	0.09	1.73
0.206	0.181	0.655	3.696	3.862	2.458	3.694
2.42	1.113	0.4	0.426	0.447	3.219	0.39
2.7	1.132	1.132	1.136	0.998	0.204	0.97
1.782	0.603	0.9	0.813	0.035	0.56	0.57
7.27	1.201	0.3422	0.8877	0.25	2.866	0.564
0.805	0.405	0.49	0.335	0.256	2.251	0.21
39.4	7.396	1.68	1.68	1.5	1.805	1.64
0.22	0.342	1.85	2.285	2.471	0.147	2.1
2.82	1.601	3.644	3.644	0.998	1.623	1.692
3.168	5.864	0.386	0.397	0.5	0.178	0.38
18.12	1.014	1.14	0.975	0.452	4.5	0.98
0.36	0.528	0.478	0.499	0.8	0.566	0.4
1.04	0.406	1.457	1.483	1.701	1.509	1.45
0.398	0.468	0.543	1.09	0.846	1.185	1.013
3.56	0.084	0.94	1.84	0.015	3.478	1.52
0.35	2.158	1.09	3.758	1.418	3.918	3.709
14.5	2.8	0.59	0.49	1.098	5.054	0.605
13.42	0.801	0.708	0.25	0.12	2.726	0.25
