Long	Lat	Area	Fences	Houses	Roads	Rivers	Buildings	Phyto
-47.548	-13.438	0.5563	0.647	5.125	0.115	0.644	1.186	CL
-47.575	-13.441	2.8	0.912	4.447	0.142	0.461	3.61	CL
-47.579	-13.533	2.5098	0.806	2.387	0.011	0.888	0.709	CL
-47.471	-13.637	0.825	1.395	2.235	1.251	4.09	2.199	CL
-47.535	-13.54	1.09	0.901	3.471	0.211	1.259	3.739	CL
-47.34	-13.486	4.5	0.983	1.482	0.689	1.028	1.472	CL
-47.352	-13.496	4.5	0.983	1.482	0.689	1.028	1.472	CL
-47.201	-13.539	16	0.15	0.5	0.06	0.63	0.5	CL
-47.263	-13.495	0.218	0.16	0.34	0.82	4.95	0.394	CR
-47.468	-13.611	3.21	0.371	0.395	0.142	3.199	0.399	CR
-47.458	-13.253	2.24	0.1	0.075	0.1	0.28	0.06	CR
-47.54	-13.445	28.43	2.685	1.616	0.013	1.85	1.6	CR
-47.607	-13.429	0.296	1.132	1.136	0.998	0.204	0.97	CR
-47.273	-13.404	17.05	1.647	2.231	2.804	3.102	2.25	CS
-47.396	-13.27	0.21	2.156	1.123	1.976	0.834	1.1	CS
-47.348	-13.358	0.139	0.16	0.146	0.568	1.336	0.12	CS
-47.413	-13.419	0.3	0.48	0.075	0.042	3.184	0.04	CS
-47.31	-13.505	0.343	0.111	0.372	1.046	0.161	0.381	CS
-47.491	-13.449	23.11	0.21	1.895	0.07	3.423	1.87	CS
-47.496	-13.581	0.647	0.595	0.857	0.322	0.917	0.54	CS
-47.348	-13.661	0.158	1.432	2.113	1.726	0.09	1.73	CS
-47.189	-13.316	0.206	0.655	3.696	3.862	2.458	3.694	FE
-47.498	-13.411	2.42	0.4	0.426	0.447	3.219	0.39	FE
-47.62	-13.444	2.7	1.132	1.136	0.998	0.204	0.97	FE
-47.495	-13.514	1.782	0.9	0.813	0.035	0.56	0.57	FE
-47.179	-13.595	7.27	0.3422	0.8877	0.25	2.866	0.564	FE
-47.41	-13.427	0.805	0.49	0.335	0.256	2.251	0.21	FE
-47.594	-13.251	39.4	1.68	1.68	1.5	1.805	1.64	FE
-47.291	-13.298	0.22	1.85	2.285	2.471	0.147	2.1	FE
-47.586	-13.381	2.82	3.644	3.644	0.998	1.623	1.692	FE
-47.587	-13.381	3.168	0.386	0.397	0.5	0.178	0.38	FE
-47.218	-13.349	18.12	1.14	0.975	0.452	4.5	0.98	MC
-47.349	-13.471	0.36	0.478	0.499	0.8	0.566	0.4	SE
-47.258	-13.293	1.04	1.457	1.483	1.701	1.509	1.45	SE
-47.64	-13.311	0.398	0.543	1.09	0.846	1.185	1.013	SS
-47.439	-13.527	3.56	0.94	1.84	0.015	3.478	1.52	SS
-47.524	-13.604	0.35	1.09	3.758	1.418	3.918	3.709	SS
-47.235	-13.508	14.5	0.59	0.49	1.098	5.054	0.605	SS
-47.389	-13.323	13.42	0.708	0.25	0.12	2.726	0.25	VR
